person,cause_of_death,date,year,canine,dept_name,states_death
Special Patrolman Thomas Sparks,Assault,1857-07-09,1857,FALSE,New York Metropolitan Police Force,New York
Patrolman Eugene Anderson,Gunfire,1857-07-20,1857,FALSE,New York Metropolitan Police Force,New York
Sergeant William Jourdan,Gunfire,1857-10-14,1857,FALSE,Baltimore City Police Department,Maryland
Patrolman Ezekiel Wentworth Hodsdon,Gunfire,1857-10-18,1857,FALSE,Boston Police Department,Massachusetts
Patrolman Horatio Sanger,Assault,1857-11-22,1857,FALSE,New York Metropolitan Police Force,New York
Sheriff William C. Getman,Gunfire,1858-01-07,1858,FALSE,Los Angeles County Sheriff's Department,California
Sheriff Samuel Lee Lockhart,Stabbed,1858-01-09,1858,FALSE,Llano County Sheriff's Office,Texas
Special Police Officer George C. Chapman,Gunfire,1858-04-27,1858,FALSE,Sacramento Police Department,California
Private William Earbee,Gunfire (Accidental),1858-05-05,1858,FALSE,Texas Rangers,Texas
Private Robert Nickles,Stabbed,1858-05-12,1858,FALSE,Texas Rangers,Texas
Private Waco Indian,Gunfire,1858-05-12,1858,FALSE,Texas Rangers,Texas
City Marshal Joseph Beard,Stabbed,1858-07-10,1858,FALSE,Lexington Police Department,Kentucky
Deputy Sheriff Travis Gibson,Stabbed,1858-08-03,1858,FALSE,Campbell County Sheriff's Office,Tennessee
Sheriff Sampson D. Queener,Stabbed,1858-08-03,1858,FALSE,Campbell County Sheriff's Office,Tennessee
Patrolman George Coulter,Gunfire,1858-08-17,1858,FALSE,Louisville Police Department,Kentucky
Police Officer Benjamin Benton,Gunfire,1858-09-22,1858,FALSE,Baltimore City Police Department,Maryland
Police Officer William Cooke,Gunfire,1858-10-18,1858,FALSE,Salt Lake City Police Department,Utah
Police Officer Robert M. Rigdon,Gunfire,1858-11-08,1858,FALSE,Baltimore City Police Department,Maryland
Policeman Joel N. McDonald,Gunfire,1858-11-26,1858,FALSE,Columbia Police Department,California
Constable John Leary,Gunfire,1858-11-29,1858,FALSE,Columbia Police Department,California
Constable David Welch,Gunfire,1859-01-11,1859,FALSE,Henderson County Sheriff's Office,Illinois
Deputy Sheriff George W. Martin,Gunfire,1859-07-11,1859,FALSE,Placer County Sheriff's Department,California
Jailer Robert L. Johnson,Gunfire,1859-09-28,1859,FALSE,Cameron County Sheriff's Office,Texas
Constable George Morris,Gunfire,1859-09-28,1859,FALSE,Cameron County Constable's Office - Precinct 2,Texas
Private John Fox,Gunfire,1859-11-16,1859,FALSE,Texas Rangers,Texas
Private Thomas Grier,Gunfire,1859-11-16,1859,FALSE,Texas Rangers,Texas
Private William McKay,Gunfire,1859-11-16,1859,FALSE,Texas Rangers,Texas
Private Nicholas R. Milett,Gunfire,1859-11-16,1859,FALSE,Texas Rangers,Texas
Private David Herman,Gunfire,1859-12-14,1859,FALSE,Texas Rangers,Texas
Patrolman John Steward,Structure collapse,1859-12-20,1859,FALSE,New York Metropolitan Police Force,New York
Private Fountain B. Woodruff,Gunfire,1860-02-04,1860,FALSE,Texas Rangers,Texas
Sheriff Thomas S. Milligan,Assault,1860-02-19,1860,FALSE,Mason County Sheriff's Department,Texas
Officer C. Edward Foley,Gunfire,1860-03-10,1860,FALSE,Houston Police Department,Texas
Deputy U.S. Marshal Leonard Armes,Gunfire,1860-04-20,1860,FALSE,United States Department of Justice - United States Marshals Service,NA
Patrolman W. Stith Tucker,Stabbed,1860-05-05,1860,FALSE,Memphis Police Department,Tennessee
