person,cause_of_death,date,year,canine,dept_name,states_death
Deputy Sheriff Leonard R. Clarke,Gunfire,1938-03-09,1938,FALSE,Rockingham County Sheriff's Office,North Carolina
Patrolman Mose Hurt Littrell,Gunfire,1938-03-14,1938,FALSE,Kentucky Highway Patrol,Kentucky
Town Marshal Oder Fowler,Gunfire,1938-03-14,1938,FALSE,Jamestown Police Department,Tennessee
Patrolman Allen E. Ludden,Motorcycle accident,1938-03-15,1938,FALSE,Washington State Patrol,Washington
Conservation Officer Maurice C. Luck,Gunfire (Accidental),1938-03-16,1938,FALSE,Michigan Department of Natural Resources,Michigan
Investigator William Franklin Berry,Gunfire,1938-03-18,1938,FALSE,United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit,NA
Trooper William T. Graydon,Automobile accident,1938-03-19,1938,FALSE,New York State Police,New York
Detective Frank C. Wypijewski,Heart attack,1938-03-20,1938,FALSE,Buffalo Police Department,New York
"Special Officer Robert Franklin ""Bob"" Fennell",Stabbed,1938-03-20,1938,FALSE,Wichita Falls Police Department,Texas
Chief of Police Winchell W. Hills,Gunfire (Accidental),1938-03-24,1938,FALSE,South Chicago Heights Police Department,Illinois
Policeman Rodrigo Rodriguez-Torres,Gunfire,1938-03-24,1938,FALSE,Puerto Rico Police Department,NA
Police Officer M. E. Palmer,Gunfire,1938-03-24,1938,FALSE,Houston Police Department,Texas
Police Officer William J. Courtney,Assault,1938-03-24,1938,FALSE,Fort Worth Police Department,Texas
Park Police Officer Martin Wolski,Gunfire,1938-03-26,1938,FALSE,Chicago Park District Police Department,Illinois
Police Officer Seymour H. Lawler,Gunfire,1938-03-26,1938,FALSE,Detroit Police Department,Michigan
Police Officer Hiram J. Reno,Gunfire,1938-03-26,1938,FALSE,Detroit Police Department,Michigan
Turnkey Harry Miller Swartz,Assault,1938-03-27,1938,FALSE,Chemung County Sheriff's Department,New York
Sergeant Charles William Puckett,Duty related illness,1938-03-28,1938,FALSE,Virginia Division of Motor Vehicles - Enforcement Division,Virginia
Officer John Franklin Harmann,Gunfire,1938-03-29,1938,FALSE,Norfolk Police Department,Virginia
Police Officer Henry Berry,Gunfire,1938-03-30,1938,FALSE,Philadelphia Police Department,Pennsylvania
Special Officer Owen McManus,Gunfire,1938-03-31,1938,FALSE,Southern Pacific Railroad Police Department,NA
Night Officer Marion Albert Conrey,Assault,1938-04-02,1938,FALSE,Knoxville Police Department,Iowa
Detective Sergeant Thomas M. Chevis,Gunfire,1938-04-07,1938,FALSE,Tampa Police Department,Florida
Sheriff Daniel Clayton Adkinson,Gunfire,1938-04-07,1938,FALSE,Walton County Sheriff's Office,Florida
Sergeant Ira A. Warren,Gunfire,1938-04-07,1938,FALSE,Oregon State Police,Oregon
Deputy Sheriff Odus Sisk,Gunfire,1938-04-09,1938,FALSE,Ray County Sheriff's Department,Missouri
Officer Arthur Herbert Barrett,Heart attack,1938-04-09,1938,FALSE,Norfolk Police Department,Virginia
Deputy Sheriff William Jefferson Perry,Gunfire,1938-04-11,1938,FALSE,Wolfe County Sheriff's Department,Kentucky
"Undersheriff Arthur ""Buzz"" Burford",Gunfire,1938-04-14,1938,FALSE,Golden Valley County Sheriff's Department,Montana
Deputy Sheriff Charlie B. Shepherd,Gunfire,1938-04-14,1938,FALSE,Alleghany County Sheriff's Office,North Carolina
Deputy Sheriff John Germano,Gunfire,1938-04-17,1938,FALSE,Winnebago County Sheriff's Office,Illinois
Patrolman Humbert Morruzzi,Gunfire,1938-04-17,1938,FALSE,New York City Police Department,New York
Police Officer Joseph Kostik,Automobile accident,1938-04-17,1938,FALSE,Yonkers Police Department,New York
Police Officer Albert Liptak,Automobile accident,1938-04-18,1938,FALSE,Yonkers Police Department,New York
Officer Ernest T. Wessells,Motorcycle accident,1938-04-23,1938,FALSE,Metropolitan Police Department,District of Columbia
Chief of Police Robert K. Hannahs,Vehicular assault,1938-04-28,1938,FALSE,Richfield Springs Police Department,New York
Patrolman Frank E. Herrmann,Struck by vehicle,1938-04-30,1938,FALSE,Jefferson County Police Department,Kentucky
Policeman Donald Young Grant,Assault,1938-05-02,1938,FALSE,Old Fort Police Department,North Carolina
Captain Edward A. O'Donnell,Motorcycle accident,1938-05-02,1938,FALSE,West Homestead Borough Police Department,Pennsylvania
"Special Agent William R. Ramsey, Jr.",Gunfire,1938-05-03,1938,FALSE,United States Department of Justice - Federal Bureau of Investigation,NA
Patrolman Thomas Hackett,Automobile accident,1938-05-04,1938,FALSE,New York City Police Department,New York
Special Agent Thomas A. Owens,Gunfire,1938-05-10,1938,FALSE,Central of Georgia Railroad Police Department,NA
Captain J. M. Dopson,Gunfire,1938-05-11,1938,FALSE,Macon Police Department,Georgia
Deputy Sheriff Osie R. Gourd,Gunfire,1938-05-12,1938,FALSE,Cherokee County Sheriff's Office,Oklahoma
Deputy Sheriff Fidel Aguirre,Assault,1938-05-15,1938,FALSE,Huerfano County Sheriff's Office,Colorado
Officer Ernesto Nesty Valente,Automobile accident,1938-05-15,1938,FALSE,Hazleton City Police Department,Pennsylvania
Officer Leonard Nelson,Vehicular assault,1938-05-18,1938,FALSE,California Highway Patrol,California
Patrolman Theodore E. R. Braun,Motorcycle accident,1938-05-18,1938,FALSE,Verona Police Department,New Jersey
Patrolman Edward H. Wendland,Gunfire,1938-05-21,1938,FALSE,New Haven Police Department,Connecticut
Police Officer Hoyt Holder,Gunfire,1938-05-22,1938,FALSE,Anniston Police Department,Alabama
Lieutenant George C. Howard,Gunfire,1938-05-22,1938,FALSE,Los Angeles Police Department,California
Investigator Lee B. Davis,Automobile accident,1938-05-22,1938,FALSE,Illinois Department of Conservation - Division of Law Enforcement,Illinois
Correctional Officer Royal C. Cline,Assault,1938-05-23,1938,FALSE,United States Department of Justice - Federal Bureau of Prisons,NA
Police Officer Andrew Louis Schlechtweg,Motorcycle accident,1938-05-26,1938,FALSE,Stamford Police Department,Connecticut
Officer Alvie C. Emmelman,Motorcycle accident,1938-05-29,1938,FALSE,Indianapolis Police Department,Indiana
Patrolman Raymond H. Griffin,Gunfire,1938-05-30,1938,FALSE,Cleveland Police Department,Ohio
Patrolman George W. Frazier,Heart attack,1938-05-30,1938,FALSE,Kingsport Police Department,Tennessee
Constable Bruce Barker,Gunfire,1938-05-30,1938,FALSE,Sullivan County Twelfth District Constable's Office,Tennessee
Patrolman Melvin Williams,Vehicle pursuit,1938-05-31,1938,FALSE,New York City Police Department,New York
Officer Norris Vinton McMackin,Motorcycle accident,1938-06-01,1938,FALSE,Inglewood Police Department,California
Officer Homer Collins Barton,Gunfire,1938-06-01,1938,FALSE,Coral Gables Police Department,Florida
Patrolman James B. Fisher,Gunfire (Accidental),1938-06-03,1938,FALSE,New York City Police Department,New York
Officer Richard T. Conklin,Motorcycle accident,1938-06-05,1938,FALSE,Metropolitan Police Department,District of Columbia
Patrolman Thaxter M. Reardon,Assault,1938-06-05,1938,FALSE,East Millinocket Police Department,Maine
Patrolman Joseph Leroy Moon,Vehicle pursuit,1938-06-07,1938,FALSE,Corpus Christi Police Department,Texas
Deputy Sheriff Jack Hickox,Gunfire,1938-06-08,1938,FALSE,Pinal County Sheriff's Office,Arizona
"Deputy Sheriff Ernest Earle Goode, Sr.",Gunfire,1938-06-12,1938,FALSE,Galveston County Sheriff's Office,Texas
Patrolman Warren D. Smith,Struck by vehicle,1938-06-13,1938,FALSE,New York City Police Department,New York
Deputy Sheriff Harry Merrill,Drowned,1938-06-16,1938,FALSE,Bonneville County Sheriff's Office,Idaho
Sheriff Charles Clarence Mason,Gunfire,1938-06-16,1938,FALSE,Jackson County Sheriff's Office,North Carolina
Officer Roy Robert Fitch,Duty related illness,1938-06-19,1938,FALSE,Worthington Police Department,Minnesota
Trooper Vincent C. Vosbein,Motorcycle accident,1938-06-19,1938,FALSE,New Jersey State Police,New Jersey
Constable Felix Valenzuela,Gunfire,1938-06-19,1938,FALSE,Brewster County Constable's Office - Precinct 2,Texas
Police Officer Manuel Borgos,Motorcycle accident,1938-06-23,1938,FALSE,Westchester County Parkway Police Department,New York
Trooper William Raymond Dixon,Gunfire,1938-06-28,1938,FALSE,Indiana State Police,Indiana
Deputy Ova Earl Vaughn,Electrocuted,1938-06-28,1938,FALSE,Johnson County Sheriff's Office,Indiana
Patrolman Harry J. Padian,Gunfire,1938-07-07,1938,FALSE,New York City Police Department,New York
Deputy Sheriff Jess Thompson,Gunfire,1938-07-07,1938,FALSE,Raleigh County Sheriff's Department,West Virginia
Police Officer George D. Kelley,Motorcycle accident,1938-07-08,1938,FALSE,Stamford Police Department,Connecticut
Patrolman Robert Wehagen,Stabbed,1938-07-08,1938,FALSE,Cleveland Police Department,Ohio
Patrolman Arthur Howarth,Automobile accident,1938-07-09,1938,FALSE,New York City Police Department,New York
Captain E. L. Shryver,Struck by vehicle,1938-07-10,1938,FALSE,California Highway Patrol,California
Marshal Charles Harrison Wolfe,Electrocuted,1938-07-11,1938,FALSE,Orleans Police Department,Indiana
Patrolman Angelo E. Favata,Automobile accident,1938-07-11,1938,FALSE,New York City Police Department,New York
Patrolman L.  Lawson Rhodes,Motorcycle accident,1938-07-15,1938,FALSE,South Carolina Highway Patrol,South Carolina
Patrolman Louis Mlakar,Automobile accident,1938-07-20,1938,FALSE,Cleveland Police Department,Ohio
Guard Rufus William Walters,Gunfire,1938-07-22,1938,FALSE,Florida State Road Department - State Convict Road Force,Florida
Patrolman Joseph W. Kelly,Automobile accident,1938-07-23,1938,FALSE,Massachusetts State Police,Massachusetts
Captain Rafael Igaravidez-Falcon,Gunfire,1938-07-30,1938,FALSE,Puerto Rico Police Department,NA
Officer Cody Bettis,Motorcycle accident,1938-08-03,1938,FALSE,Mobile Police Department,Alabama
"Constable Thomas Page Godfrey, Jr.",Struck by vehicle,1938-08-03,1938,FALSE,Ellis County Constable's Office - Precinct 1,Texas
Sheriff James L. O'Malley,Automobile accident,1938-08-04,1938,FALSE,Hamilton County Sheriff's Department,Iowa
Police Officer James Ray Hinkley,Gunfire,1938-08-06,1938,FALSE,Mason Police Department,Michigan
Police Officer Francis J. Murray,Vehicular assault,1938-08-14,1938,FALSE,Stockton Police Department,California
Patrolman Daniel T. O'Connell,Gunfire,1938-08-15,1938,FALSE,New Haven Police Department,Connecticut
Private Elmer Ray Pyle,Gunfire,1938-08-17,1938,FALSE,Oregon State Police,Oregon
Detective Archie Bowman,Gunfire,1938-08-19,1938,FALSE,Pensacola Police Department,Florida
Officer Fred B. Counts,Automobile accident,1938-08-22,1938,FALSE,Oklahoma City Police Department,Oklahoma
Trooper Martin J. Kerins,Motorcycle accident,1938-08-23,1938,FALSE,New York State Police,New York
Policeman Vidal E. Torres-Melendez,Gunfire,1938-08-23,1938,FALSE,Puerto Rico Police Department,NA
Officer Charles E. Barden,Motorcycle accident,1938-08-24,1938,FALSE,Peoria Park District Police Department,Illinois
Guard John P. Greer,Stabbed,1938-08-27,1938,FALSE,Texas Department of Criminal Justice,Texas
Patrolman Patrick E. O'Malley,Gunfire,1938-08-30,1938,FALSE,Chicago Police Department,Illinois
Patrolman Edward William Carson,Motorcycle accident,1938-09-04,1938,FALSE,Scituate Police Department,Massachusetts
Investigator Thomas M. Gravely,Gunfire,1938-09-06,1938,FALSE,Virginia Department of Alcoholic Beverage Control,Virginia
Deputy Sheriff Goode King Tait,Gunfire,1938-09-08,1938,FALSE,Wilcox County Sheriff's Department,Alabama
Deputy U.S. Marshal John Luses,Automobile accident,1938-09-08,1938,FALSE,United States Department of Justice - United States Marshals Service,NA
Deputy Sheriff John James Arthur Cobain,Gunfire (Accidental),1938-09-08,1938,FALSE,Grays Harbor County Sheriff's Office,Washington
Policeman Weymouth T. Lockridge,Automobile accident,1938-09-09,1938,FALSE,Los Angeles Police Department,California
Patrolman Albert Mathiasen,Motorcycle accident,1938-09-18,1938,FALSE,St. Cloud Police Department,Minnesota
Patrolman Marion F. Cunningham,Gunfire,1938-09-20,1938,FALSE,Lawrenceburg Police Department,Indiana
Patrolman James H. Trepanier,Gunfire,1938-09-20,1938,FALSE,Minneapolis Police Department,Minnesota
Patrolman Paul J. Murnane,Heart attack,1938-09-23,1938,FALSE,Boston Police Department,Massachusetts
Patrolman Percy Smith,Automobile accident,1938-10-03,1938,FALSE,New York City Police Department,New York
Quartermaster Sergeant Ellsworth D. Dryden,Automobile accident,1938-10-07,1938,FALSE,Maryland State Police,Maryland
Private Joseph M. Williams,Struck by vehicle,1938-10-08,1938,FALSE,Pennsylvania Motor Police,Pennsylvania
Chief Deputy Sheriff George W. Spencer,Gunfire,1938-10-10,1938,FALSE,Craighead County Sheriff's Department,Arkansas
Private Charles H. Craven,Struck by vehicle,1938-10-11,1938,FALSE,Pennsylvania Motor Police,Pennsylvania
Sheriff Hugh Owen,Gunfire,1938-10-12,1938,FALSE,Nowata County Sheriff's Office,Oklahoma
Detective Fred Renovato,Gunfire,1938-10-13,1938,FALSE,Denver Police Department,Colorado
Patrolman Martin A. Hanke,Gunfire (Accidental),1938-10-18,1938,FALSE,New York City Police Department,New York
Patrolman Lewis R. Boone,Motorcycle accident,1938-10-18,1938,FALSE,Tennessee Highway Patrol,Tennessee
Patrolman John A. Olson,Gunfire,1938-10-20,1938,FALSE,Chicago Police Department,Illinois
Constable Arthur D. Matthews,Vehicle pursuit,1938-10-22,1938,FALSE,Boonville Police Department,North Carolina
Chief of Police Charlie T. Thornton,Gunfire,1938-10-25,1938,FALSE,Jackson Police Department,Georgia
Detective Webb L. Campbell,Gunfire (Accidental),1938-10-29,1938,FALSE,Oklahoma City Police Department,Oklahoma
Chief Engineer Joseph Edward Keene,Fall,1938-11-01,1938,FALSE,Baltimore City Police Department,Maryland
Patrolman W. G. Willard,Gunfire,1938-11-01,1938,FALSE,Winston-Salem Police Department,North Carolina
Police Officer Carl Rolf,Gunfire,1938-11-02,1938,FALSE,Springfield Police Department,Massachusetts
Sheriff Leland Fry,Gunfire,1938-11-05,1938,FALSE,Benton County Sheriff's Office,Iowa
Patrolman Harry Rose,Motorcycle accident,1938-11-10,1938,FALSE,Covington Police Department,Kentucky
Park Ranger Karl A. Jacobson,Gunfire,1938-11-11,1938,FALSE,United States Department of the Interior - National Park Service,NA
Patrolman Harvey O'Neill,Motorcycle accident,1938-11-11,1938,FALSE,Toledo Police Department,Ohio
Patrolman Charles Gearhiser,Motorcycle accident,1938-11-12,1938,FALSE,Tennessee Highway Patrol,Tennessee
Officer Earl Vickery,Vehicle pursuit,1938-11-20,1938,FALSE,East Point Police Department,Georgia
Patrolman Henry S. Shipe,Automobile accident,1938-11-21,1938,FALSE,Kansas City Police Department,Missouri
Officer Milan Miller,Gunfire,1938-11-22,1938,FALSE,Lead Police Department,South Dakota
Patrolman Victor C. Cooper,Automobile accident,1938-11-23,1938,FALSE,New York City Police Department,New York
Patrolman Clarence C. Clark,Automobile accident,1938-11-23,1938,FALSE,New York City Police Department,New York
Patrolman Edward J. Lynn,Gunfire,1938-11-30,1938,FALSE,Chicago Police Department,Illinois
Officer Clinton Burtner,Motorcycle accident,1938-12-04,1938,FALSE,Riverside Police Department,California
Sheriff James Rattazzi,Automobile accident,1938-12-06,1938,FALSE,Eureka County Sheriff's Office,Nevada
Night Marshal Neal D. Fowler,Gunfire,1938-12-06,1938,FALSE,Clyde Police Department,Ohio
Sheriff Mercellus P. Robertson,Gunfire,1938-12-07,1938,FALSE,Alamance County Sheriff's Office,North Carolina
Patrolman Sonny W. Vaughn,Gunfire,1938-12-07,1938,FALSE,Burlington Police Department,North Carolina
Chief of Police James Earl Rimmer,Automobile accident,1938-12-07,1938,FALSE,Mooresville Police Department,North Carolina
Officer Thomas C. Bounds,Heart attack,1938-12-08,1938,FALSE,Fort Worth Police Department,Texas
Chief Henry S. Hand,Gunfire,1938-12-13,1938,FALSE,Montgomery Borough Police Department,Pennsylvania
Deputy Sheriff Herbert August Boelte,Gunfire,1938-12-18,1938,FALSE,Halifax County Sheriff's Office,Virginia
Game Warden Dawson R. Murchison,Gunfire,1938-12-20,1938,FALSE,"Texas Game, Fish, and Oyster Commission",Texas
Officer Charles W. Campbell,Gunfire,1938-12-24,1938,FALSE,Augusta Police Department,Kentucky
Police Officer Earl W. Kanning,Motorcycle accident,1938-12-24,1938,FALSE,San Antonio Police Department,Texas
Officer Fred J. Kowolowski,Motorcycle accident,1938-12-26,1938,FALSE,California Highway Patrol,California
Officer Walter O. Salisbury,Gunfire,1939-01-02,1939,FALSE,San Francisco Police Department,California
Officer Walter D. Mazzie,Gunfire,1939-01-05,1939,FALSE,Louisville Police Department,Kentucky
Sheriff Earl Scott,Automobile accident,1939-01-07,1939,FALSE,Pike County Sheriff's Department,Kentucky
Patrolman Campbell K. Jenkins,Motorcycle accident,1939-01-09,1939,FALSE,Columbus Division of Police,Ohio
Lieutenant Harry G. Emsley,Motorcycle accident,1939-01-12,1939,FALSE,Los Angeles Police Department,California
Night Chief John D. Gilliam,Gunfire,1939-01-13,1939,FALSE,Cumberland Police Department,Kentucky
Patrolman James Francis Goggin,Gunfire,1939-01-13,1939,FALSE,Cleveland Police Department,Ohio
Police Officer Herbert Hatcher,Gunfire,1939-01-15,1939,FALSE,Pensacola Police Department,Florida
Marshal William Simpson,Gunfire,1939-01-17,1939,FALSE,New Miami Police Department,Ohio
Patrolman Leon T. Czajka,Duty related illness,1939-01-21,1939,FALSE,Chicago Police Department,Illinois
Patrol Officer Stanley Siembab,Struck by vehicle,1939-01-21,1939,FALSE,Coventry Police Department,Rhode Island
Police Officer Herman Fleishman,Vehicular assault,1939-01-22,1939,FALSE,Redwood City Police Department,California
Corporal George Dewey Naughton,Gunfire,1939-01-30,1939,FALSE,Pennsylvania Motor Police,Pennsylvania
Constable Otis H. Hendrix,Gunfire,1939-01-30,1939,FALSE,Gray County Constable's Office - Precinct 2,Texas
Detective James Tillman Moser,Gunfire,1939-01-31,1939,FALSE,Birmingham Police Department,Alabama
Investigator James Logan Molloy,Automobile accident,1939-01-31,1939,FALSE,United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit,NA
Patrolman Alexander N. Benedict,Gunfire (Accidental),1939-02-03,1939,FALSE,Nassau County Police Department,New York
Police Officer William Clarence Fuston,Gunfire,1939-02-03,1939,FALSE,Brownwood Police Department,Texas
Patrolman George J. Weslar,Gunfire,1939-02-04,1939,FALSE,Binghamton Police Department,New York
Senior Patrolman Walter T. Bell,Automobile accident,1939-02-04,1939,FALSE,South Carolina Highway Patrol,South Carolina
Officer John Henry Miller,Gunfire (Accidental),1939-02-12,1939,FALSE,Spokane Police Department,Washington
Deputy Sheriff Ben F. Sluss,Gunfire,1939-02-15,1939,FALSE,Scott County Sheriff's Office,Virginia
Patrolman Earl F. Burns,Fall,1939-02-16,1939,FALSE,Denver Police Department,Colorado
Police Chief John W. Brown,Automobile accident,1939-02-21,1939,FALSE,Colerain Police Department,North Carolina
Patrolman Adolph Norbert Jindra,Gunfire,1939-02-24,1939,FALSE,Cleveland Police Department,Ohio
Sheriff Ole Alexander Solberg,Automobile accident,1939-02-25,1939,FALSE,Brown County Sheriff's Department,South Dakota
Patrolman Gerald De La Mater,Motorcycle accident,1939-02-27,1939,FALSE,Hasbrouck Heights Police Department,New Jersey
Patrolman A. B. Smart,Automobile accident,1939-03-02,1939,FALSE,North Carolina Highway Patrol,North Carolina
Customs Agent Matthew Kononen,Drowned,1939-03-05,1939,FALSE,United States Department of the Treasury - Customs Service,NA
Patrol Officer Herman M. Rollins,Gunfire,1939-03-13,1939,FALSE,Knoxville Police Department,Tennessee
Detective James A. Stevens,Gunfire,1939-03-14,1939,FALSE,Rensselaer Police Department,New York
Deputy Sheriff D. M. Baker,Gunfire,1939-03-15,1939,FALSE,Park County Sheriff's Office,Wyoming
Patrolman Willis Jackson Genes,Gunfire,1939-03-16,1939,FALSE,Fayetteville Police Department,North Carolina
Marshal Charles Lewis,Gunfire,1939-03-16,1939,FALSE,Powell Police Department,Wyoming
Deputy Sheriff John T. Miller,Automobile accident,1939-03-30,1939,FALSE,Queens County Sheriff's Department,New York
Deputy Sheriff Fred D'Amore,Automobile accident,1939-03-30,1939,FALSE,Queens County Sheriff's Department,New York
Marshal Otto Jirecek,Vehicular assault,1939-03-31,1939,FALSE,Solon Police Department,Ohio
Patrol Officer Erwin Tate,Gunfire,1939-04-10,1939,FALSE,Zanesville Police Department,Ohio
Patrolman Thomas A. Davis,Assault,1939-04-13,1939,FALSE,Boston Police Department,Massachusetts
Policeman Gustavo Rosado-Velez,Gunfire,1939-04-13,1939,FALSE,Puerto Rico Police Department,NA
Officer William Ray Holbrook,Motorcycle accident,1939-04-15,1939,FALSE,Nashville City Police Department,Tennessee
Police Officer Myron Kohler,Automobile accident,1939-04-16,1939,FALSE,Detroit Police Department,Michigan
Chief of Police John T. Moyer,Gunfire,1939-04-21,1939,FALSE,Baxter Springs Police Department,Kansas
"Chief Deputy John Thomas Sanders, Sr.",Fall,1939-05-03,1939,FALSE,Butler County Sheriff's Office,Alabama
Policeman Samuel J. Brothers,Gunfire,1939-05-06,1939,FALSE,Burgaw Police Department,North Carolina
Police Officer Craig Taylor Bracken,Gunfire,1939-05-08,1939,FALSE,Twin Falls Police Department,Idaho
Patrolman William J. Holstein,Motorcycle accident,1939-05-09,1939,FALSE,New York City Police Department,New York
Patrolman Phillip J. Kelly,Gunfire,1939-05-10,1939,FALSE,Chicago Police Department,Illinois
Deputy City Marshal Earl Burkett,Gunfire,1939-05-17,1939,FALSE,Monahans Police Department,Texas
Patrolman Nicholas C. Moreno,Gunfire,1939-05-23,1939,FALSE,New York City Police Department,New York
Officer Michael Aloisio,Motorcycle accident,1939-05-23,1939,FALSE,Norfolk Police Department,Virginia
"Constable William M. ""Will"" Coward",Gunfire,1939-05-28,1939,FALSE,Pittsylvania County Constable's Office,Virginia
Deputy Sheriff William Martin Greer,Automobile accident,1939-06-01,1939,FALSE,Miller County Sheriff's Department,Arkansas
Assistant Chief of Police Edwin E. Stuart,Gunfire,1939-06-06,1939,FALSE,Anaconda Police Department,Montana
Patrolman Emmett Cassidy,Gunfire,1939-06-06,1939,FALSE,New York City Police Department,New York
Patrolman Clarence T. Smith,Fire,1939-06-06,1939,FALSE,Cleveland Police Department,Ohio
Chief of Police Burnell Imhoff,Motorcycle accident,1939-06-07,1939,FALSE,New Holland Borough Police Department,Pennsylvania
Patrolman Alexander C. Stutt,Heart attack,1939-06-09,1939,FALSE,New York City Police Department,New York
Private Willard A. Tubbs,Gunfire,1939-06-21,1939,FALSE,Oregon State Police,Oregon
Police Officer Warren K. Raby,Gunfire,1939-06-23,1939,FALSE,Detroit Police Department,Michigan
Patrolman Edward M. Conway,Gunfire,1939-06-27,1939,FALSE,Pittsburgh Police Department,Pennsylvania
Patrolman John Cannon,Assault,1939-06-30,1939,FALSE,Memphis Police Department,Tennessee
Police Officer George D. Edwards,Gunfire,1939-06-30,1939,FALSE,Houston Police Department,Texas
Deputy Sheriff James Duncan Reddicks,Gunfire,1939-06-30,1939,FALSE,Hardin County Sheriff's Department,Texas
"Undersheriff E. R. ""Ray"" Kumpf",Gunfire,1939-07-03,1939,FALSE,Hamilton County Sheriff's Office,Kansas
Patrolman Charles Eugene Connor,Assault,1939-07-08,1939,FALSE,Athens Borough Police Department,Pennsylvania
Patrolman John B. Gearty,Heart attack,1939-07-10,1939,FALSE,Minneapolis Police Department,Minnesota
"Marshal F. F. ""Bob"" Hunter",Gunfire,1939-07-12,1939,FALSE,Alameda Village Marshal's Office,Idaho
Investigator Benjamin Richard Smallwood,Automobile accident,1939-07-14,1939,FALSE,United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit,NA
Trooper Allen Henry Bennett Jeffreys,Vehicular assault,1939-07-16,1939,FALSE,West Virginia State Police,West Virginia
Deputy Sheriff Onus Y. Hall,Gunfire,1939-07-17,1939,FALSE,Durham County Sheriff's Office,North Carolina
Patrolman Walter Spiering,Motorcycle accident,1939-07-19,1939,FALSE,Oshkosh Police Department,Wisconsin
Police Officer Edward W. Gardell,Vehicle pursuit,1939-07-21,1939,FALSE,Beverly Hills Police Department,California
Chief of Police George M. Dickey,Gunfire,1939-07-29,1939,FALSE,Cynthiana Police Department,Kentucky
Patrolman Guy Arthur Fitzgerald,Heart attack,1939-07-31,1939,FALSE,Mount Shasta Police Department,California
Postal Inspector Finton T. McMahon,Fall,1939-08-01,1939,FALSE,United States Postal Inspection Service,NA
Deputy U.S. Marshal Whit Gullette Wright,Automobile accident,1939-08-02,1939,FALSE,United States Department of Justice - United States Marshals Service,NA
Sheriff Bill Brunt,Gunfire,1939-08-03,1939,FALSE,Cherokee County Sheriff's Department,Texas
Town Marshal Walter H. White,Gunfire,1939-08-04,1939,FALSE,Westwego Police Department,Louisiana
Deputy Sheriff Alvin Jones,Gunfire,1939-08-05,1939,FALSE,Avery County Sheriff's Office,North Carolina
Officer Joseph B. Mathews,Duty related illness,1939-08-10,1939,FALSE,California Highway Patrol,California
"Patrolman Charles Wilson Futcher, Sr.",Vehicle pursuit,1939-08-13,1939,FALSE,Lewes Police Department,Delaware
Officer Raymond E. Grant,Motorcycle accident,1939-08-14,1939,FALSE,Metropolitan Police Department,District of Columbia
Night Watchman August Godfrey Nowka,Gunfire,1939-08-20,1939,FALSE,Tuttle Police Department,Oklahoma
Police Officer Forrest Krell,Gunfire,1939-08-22,1939,FALSE,Newberry Police Department,South Carolina
Patrolman Emmett Laughlin,Automobile accident,1939-08-25,1939,FALSE,Chicago Police Department,Illinois
"Trooper William F. Dobbs, Jr.",Motorcycle accident,1939-08-27,1939,FALSE,New York State Police,New York
Trooper Franklin D. Patrick,Automobile accident,1939-08-27,1939,FALSE,West Virginia State Police,West Virginia
Patrolman Clarence Mihlheiser,Motorcycle accident,1939-08-28,1939,FALSE,New York City Police Department,New York
Officer Ernest R. Nelson,Motorcycle accident,1939-08-29,1939,FALSE,California Highway Patrol,California
Sergeant Clarence Lemuel Maynard,Automobile accident,1939-09-09,1939,FALSE,Virginia Division of Motor Vehicles - Enforcement Division,Virginia
Chief of Police Taylor Gray Walker,Struck by vehicle,1939-09-10,1939,FALSE,Adairville Police Department,Kentucky
Policeman William G. Brown,Motorcycle accident,1939-09-13,1939,FALSE,Los Angeles Police Department,California
Town Marshal Lige Denman,Gunfire,1939-09-13,1939,FALSE,Crowder Police Department,Mississippi
Deputy Sheriff Fred Adams,Gunfire,1939-09-16,1939,FALSE,Johnson County Sheriff's Office,Kentucky
Deputy Sheriff Ollie W. Harrell,Gunfire,1939-09-24,1939,FALSE,Monroe County Sheriff's Office,Tennessee
City Marshal Fred J. Leavitt,Gunfire,1939-09-26,1939,FALSE,Bolivar Police Department,Missouri
Lieutenant Eugene Gino Iattoni,Gunfire,1939-09-27,1939,FALSE,Calumet City Police Department,Illinois
Detective Joe Nance,Automobile accident,1939-10-01,1939,FALSE,Tampa Police Department,Florida
Detective Sergeant Lucius J. Rice,Gunfire,1939-10-05,1939,FALSE,Dayton Police Department,Ohio
Deputy Sheriff William Thomas McMinn,Gunfire,1939-10-07,1939,FALSE,Madison County Sheriff's Office,Alabama
Patrol Officer Roy Eugene Watkins,Gunfire,1939-10-07,1939,FALSE,Forest City Police Department,North Carolina
Deputy U.S. Marshal Colby S. Farrar,Automobile accident,1939-10-07,1939,FALSE,United States Department of Justice - United States Marshals Service,NA
Marshal Franklin Dean,Gunfire,1939-10-09,1939,FALSE,Mancos Police Department,Colorado
Police Officer John J. O'Riley,Gunfire,1939-10-21,1939,FALSE,Chatham County Police Department,Georgia
Motorcycle Patrolman Leon F. Puszcykowski,Motorcycle accident,1939-10-23,1939,FALSE,Camden Police Department,New Jersey
Patrolman Anthony E. Buckner,Struck by vehicle,1939-10-24,1939,FALSE,New York City Police Department,New York
